# k     pk_smooth     pk_ratio
0.00542984 15163.7 0.0266544
0.00545931 15215.3 0.0268509
0.00548894 15267 0.0270488
0.00551873 15318.6 0.0272481
0.00554868 15370.2 0.0274489
0.0055788 15421.8 0.0276512
0.00560908 15473.5 0.0278549
0.00563952 15525.1 0.0280601
0.00567012 15576.7 0.0282667
0.0057009 15628.3 0.0284748
0.00573184 15680 0.0286844
0.00576295 15731.6 0.0288954
0.00579422 15783.1 0.0291079
0.00582567 15834.7 0.0293218
0.00585729 15886.3 0.0295373
0.00588908 15937.8 0.0297542
0.00592104 15989.4 0.0299725
0.00595317 16040.9 0.0301924
0.00598548 16092.4 0.0304137
0.00601797 16143.8 0.0306365
0.00605063 16195.2 0.0308608
0.00608347 16246.6 0.0310865
0.00611648 16298 0.0313138
0.00614968 16349.3 0.0315425
0.00618306 16400.6 0.0317727
0.00621661 16451.9 0.0320043
0.00625035 16503.1 0.0322375
0.00628427 16554.3 0.0324721
0.00631838 16605.4 0.0327083
0.00635267 16656.5 0.0329458
0.00638715 16707.5 0.0331849
0.00642182 16758.5 0.0334255
0.00645667 16809.4 0.0336675
0.00649171 16860.3 0.033911
0.00652694 16911.1 0.034156
0.00656237 16961.8 0.0344025
0.00659798 17012.5 0.0346504
0.00663379 17063.1 0.0348998
0.00666979 17113.6 0.0351507
0.00670599 17164.1 0.035403
0.00674239 17214.5 0.0356567
